frame,x,y,visible
0,0.0,0.0,0
1,853.0,215.0,1
2,866.0,197.0,1
3,878.0,185.0,1
4,889.0,173.0,1
5,897.0,167.0,1
6,1128.0,219.0,0
7,1295.0,249.0,0
8,930.0,348.0,1
9,1125.0,374.0,0
10,929.0,188.0,1
11,931.0,355.0,1
12,985.0,331.0,0
13,994.0,348.0,0
14,1003.0,366.0,0
15,1012.0,384.0,0
16,1021.0,402.0,0
17,1030.0,420.0,0
18,1039.0,437.0,0
19,1048.0,455.0,0
20,1057.0,473.0,0
21,1066.0,491.0,0
22,1075.0,509.0,0
23,1084.0,526.0,0
24,1093.0,544.0,0
25,1102.0,562.0,0
26,1111.0,580.0,0
27,1119.0,598.0,0
28,1128.0,615.0,0
29,1137.0,633.0,0
30,1146.0,651.0,0
