frame,x,y,visible
0,1472.0,62.0,1
1,1472.0,62.0,1
2,1472.0,62.0,1
3,1472.0,62.0,1
4,1472.0,62.0,1
5,1472.0,62.0,1
6,1472.0,62.0,1
7,1472.0,62.0,1
8,1472.0,62.0,1
9,1472.0,62.0,1
10,1472.0,62.0,1
11,1472.0,62.0,1
12,1472.0,62.0,1
13,1472.0,62.0,1
14,1472.0,63.0,1
15,1472.0,63.0,1
16,1472.0,62.0,1
17,1472.0,62.0,1
18,1472.0,62.0,1
19,1472.0,62.0,1
20,1472.0,62.0,1
21,1472.0,62.0,1
22,1472.0,62.0,1
23,1472.0,62.0,1
24,1472.0,62.0,1
25,1472.0,62.0,1
26,1472.0,62.0,1
27,1472.0,62.0,1
28,1472.0,62.0,1
29,1472.0,62.0,1
30,1472.0,62.0,1
31,1472.0,62.0,1
32,1472.0,62.0,1
33,1472.0,62.0,1
34,1472.0,62.0,1
35,1472.0,62.0,1
36,1472.0,62.0,1
37,1472.0,62.0,1
38,1472.0,62.0,1
39,1472.0,63.0,1
40,1472.0,63.0,1
41,1472.0,63.0,1
42,1472.0,63.0,1
43,1472.0,63.0,1
44,1472.0,63.0,1
45,1472.0,62.0,1
46,1472.0,63.0,1
47,1472.0,63.0,1
48,1472.0,63.0,1
49,932.0,422.0,1
50,932.0,422.0,1
51,954.0,413.0,1
52,954.0,413.0,1
53,954.0,412.0,1
54,954.0,412.0,1
55,972.0,410.0,1
56,972.0,410.0,1
57,1472.0,63.0,1
58,1472.0,63.0,1
59,1472.0,63.0,1
60,1472.0,63.0,1
61,1472.0,63.0,1
62,1472.0,63.0,1
63,1472.0,63.0,1
64,1472.0,63.0,1
65,1472.0,63.0,1
66,1472.0,63.0,1
67,1472.0,63.0,1
68,1472.0,63.0,1
69,1472.0,63.0,1
70,1472.0,63.0,1
71,1472.0,63.0,1
72,1472.0,63.0,1
73,1472.0,63.0,1
74,1472.0,63.0,1
75,1472.0,63.0,1
76,1472.0,63.0,1
77,1472.0,63.0,1
78,1472.0,63.0,1
79,1472.0,63.0,1
80,1472.0,63.0,1
81,1472.0,63.0,1
82,1472.0,63.0,1
83,1472.0,63.0,1
84,1472.0,63.0,1
85,1472.0,63.0,1
86,1472.0,63.0,1
87,1472.0,63.0,1
88,1472.0,63.0,1
89,1472.0,63.0,1
90,1472.0,63.0,1
91,1472.0,63.0,1
92,1472.0,63.0,1
93,1472.0,63.0,1
94,1472.0,63.0,1
95,1472.0,63.0,1
96,1472.0,63.0,1
97,1472.0,63.0,1
98,1472.0,63.0,1
99,1472.0,63.0,1
100,1472.0,63.0,1
101,1472.0,63.0,1
102,1472.0,63.0,1
103,1472.0,63.0,1
104,1205.0,704.0,1
105,1472.0,63.0,1
106,1472.0,63.0,1
107,1472.0,63.0,1
108,1472.0,63.0,1
109,1211.0,745.0,1
110,1472.0,63.0,1
111,1472.0,63.0,1
112,1214.0,749.0,1
113,1214.0,749.0,1
114,1216.0,759.0,1
115,1472.0,63.0,1
116,1472.0,63.0,1
117,1472.0,63.0,1
118,1472.0,63.0,1
119,1472.0,63.0,1
120,1472.0,63.0,1
121,1472.0,63.0,1
122,1472.0,63.0,1
123,1227.0,796.0,1
124,1472.0,63.0,1
125,1472.0,63.0,1
126,1472.0,63.0,1
127,1472.0,63.0,1
128,1472.0,63.0,1
129,1472.0,63.0,1
130,1472.0,63.0,1
131,1472.0,63.0,1
132,1472.0,63.0,1
133,1472.0,63.0,1
134,1472.0,63.0,1
135,1472.0,63.0,1
136,2007.0,245.0,1
137,1472.0,63.0,1
138,1472.0,63.0,1
139,1472.0,63.0,1
140,1472.0,63.0,1
141,1472.0,63.0,1
142,1472.0,63.0,1
143,1472.0,63.0,1
144,1472.0,63.0,1
145,1473.0,63.0,1
146,1473.0,63.0,1
147,1472.0,63.0,1
148,1472.0,63.0,1
149,1472.0,63.0,1
150,1472.0,63.0,1
151,1472.0,63.0,1
152,1472.0,63.0,1
153,1472.0,63.0,1
154,1472.0,63.0,1
155,1472.0,63.0,1
156,1472.0,63.0,1
157,1472.0,63.0,1
158,1472.0,63.0,1
159,1472.0,63.0,1
160,1472.0,63.0,1
161,1472.0,63.0,1
162,1472.0,63.0,1
163,1472.0,63.0,1
164,1472.0,63.0,1
165,1472.0,63.0,1
166,1472.0,63.0,1
167,1472.0,63.0,1
168,1472.0,63.0,1
169,1472.0,63.0,1
170,1472.0,63.0,1
171,1472.0,63.0,1
172,1472.0,63.0,1
173,1472.0,63.0,1
174,1472.0,63.0,1
175,1472.0,63.0,1
176,1472.0,63.0,1
